Sample_ID,Sample_Name,Enrichment,Carbon,Media,Replicate,Media_Carbon
Emma2_DCPET_ARW_R1,Sample01,Emma2,DCPET,ARW,R1,DCPET_ARW
Emma2_DCPET_ARW_R2,Sample02,Emma2,DCPET,ARW,R2,DCPET_ARW
Emma2_DCPET_ARW_R3,Sample03,Emma2,DCPET,ARW,R3,DCPET_ARW
Emma2_DCPET_BH_R1,Sample19,Emma2,DCPET,BH,R1,DCPET_BH
Emma2_DCPET_BH_R2,Sample20,Emma2,DCPET,BH,R2,DCPET_BH
Emma2_DCPET_BH_R3,Sample21,Emma2,DCPET,BH,R3,DCPET_BH
Emma2_DCPET_AMW_R1,Sample37,Emma2,DCPET,AMW,R1,DCPET_AMW
Emma2_DCPET_AMW_R2,Sample38,Emma2,DCPET,AMW,R2,DCPET_AMW
Emma2_DCPET_AMW_R3,Sample39,Emma2,DCPET,AMW,R3,DCPET_AMW
Emma2_TPA_BH_R1,Sample67,Emma2,TPA,BH,R1,TPA_BH
Emma2_TPA_BH_R2,Sample68,Emma2,TPA,BH,R2,TPA_BH
PositiveControl,PositiveControl,PositiveControl,PositiveControl,PositiveControl,PositiveControl,PositiveControl
Laura1_DCPET_ARW_R1,Sample04,Laura1,DCPET,ARW,R1,DCPET_ARW
Laura1_DCPET_ARW_R2,Sample05,Laura1,DCPET,ARW,R2,DCPET_ARW
Laura1_DCPET_ARW_R3,Sample06,Laura1,DCPET,ARW,R3,DCPET_ARW
Laura1_DCPET_BH_R1,Sample22,Laura1,DCPET,BH,R1,DCPET_BH
Laura1_DCPET_BH_R2,Sample23,Laura1,DCPET,BH,R2,DCPET_BH
Laura1_DCPET_BH_R3,Sample24,Laura1,DCPET,BH,R3,DCPET_BH
Laura1_DCPET_AMW_R1,Sample40,Laura1,DCPET,AMW,R1,DCPET_AMW
Laura1_DCPET_AMW_R2,Sample41,Laura1,DCPET,AMW,R2,DCPET_AMW
Laura1_DCPET_AMW_R3,Sample42,Laura1,DCPET,AMW,R3,DCPET_AMW
Laura1_TPA_BH_R1,Sample70,Laura1,TPA,BH,R1,TPA_BH
Laura1_TPA_BH_R2,Sample71,Laura1,TPA,BH,R2,TPA_BH
NegativeControl,NegativeControl,NegativeControl,NegativeControl,NegativeControl,NegativeControl,NegativeControl
